あ	亜 亞 啞 婀 痾
ああ	あ〜 あゝ アゝ 吁嗟 唖々 嗚呼 嗟 嗟呼 噫 臆 鳴呼
あい	あゐ 亜依 亜衣 会い 合 合い 哀 娃 安威 愛 愛依 愛衣 明い 歩衣 相 空い 藍 逢い 遇い 遭い 開い 阿井 阿姨 隘
あいあい	愛愛 相合 相合い 藹々 藹藹
あいいろ	あい色 藍色
あいいん	合い印 合印 愛飲
あいうち	愛内 相内 相打ち 相撃
あいえん	合縁 愛煙
あいお	愛悪 秋穂
あいおい	相生 藍生
あいおう	哀王 靉嘔
あいか	哀果 哀歌 愛佳 愛可 愛家 愛禾 愛華 愛香
あいかぎ	合いかぎ 合い鍵 合鍵
あいかた	合い方 合方 敵娼 相方
あいかわ	会川 合川 哀川 四十川 愛川 愛河 相川 藍川 鮎川
あいかん	哀感 哀歓 愛環
あいがかり	相がかり 相懸かり
あいがめ	藍瓶 藍甕
あいがも	合鴨 間鴨
あいがん	哀願 愛がん 愛玩 愛眼
あいき	合気 愛姫 愛希 愛機 相木
あいきょう	愛きょう 愛京 愛嬌 愛敬 愛狂 愛郷 相京
あいぎ	愛妓 愛戯 間着
あいく	愛苦 阿育
あいくち	匕首 合い口 合口
あいこ	あい子 アイ子 亜衣子 亞以子 愛子 愛顧 相子 藍子
あいこう	哀公 愛光 愛咬 愛好 愛校 愛甲
あいこく	哀哭 愛国
あいことば	合い言葉 合言葉
あいご	愛語 愛護 鮎子
あいごま	合い駒 合駒 間駒
あいさ	愛さ 愛紗
あいさい	愛妻 愛西
あいざ	相座 間座
あいざき	愛咲 相崎 逢崎
あいざわ	会沢 合沢 愛沢 愛澤 會澤 相沢 相澤 藍沢
あいし	哀史 哀詩 愛し 愛死
あいしあい	愛しあい 愛し合い
あいしあう	愛しあう 愛し合う
あいしあえる	愛しあえる 愛し合える
あいしあっ	愛しあっ 愛し合っ
あいしあわ	愛しあわ 愛し合わ
あいしゃ	愛社 愛車
あいしゅう	哀愁 愛執
あいしょう	合性 哀傷 愛唱 愛妾 愛称 愛荘 愛誦 愛賞 相性
あいしん	愛心 愛神
あいしんかくら	愛新覚羅 愛親覚羅
あいじ	愛二 愛児 愛治 藍地
あいじゅう	愛獣 愛銃
あいじょう	哀情 愛嬢 愛情
あいじるし	合い印 合印
あいじろう	愛二郎 愛次郎
あいす	愛す 愛州 愛洲
あいすけ	愛祐 愛輔
あいず	合図 相図
あいずみ	四十住 藍住
あいずり	藍摺 藍摺り
あいせい	愛婿 愛正 愛生
あいせき	哀惜 愛惜 相席
あいぜん	愛善 愛染 藍染 阿伊染
あいそ	哀訴 愛想 相曽 相磯 相蘇
あいそめ	藍染 逢初
あいぞう	愛三 愛憎 愛蔵 愛造
あいぞめ	愛染 藍染 藍染め
あいだ	会田 愛田 會田 相田 英田 藍田 間 阿以田
あいだがら	間がら 間柄
あいち	愛智 愛知 隘地
あいちょう	哀調 愛聴 愛重 愛鳥
あいつき	相築 藍月
あいづ	会津 會津 相津
あいづち	合槌 相づち 相槌
あいて	合手 対手 對手 相手
あいとう	哀悼 愛党 愛刀 愛東 愛陶
あいな	愛名 愛奈 愛菜 藍那
あいにく	生憎
あいの	愛野 藍野
あいのう	壒嚢 壒囊
あいのこ	あいの子 合の子 間の子
あいのしま	相島 藍島
あいのすけ	愛之助 相之助
あいのて	あいの手 合いの手 合の手 間の手
あいはら	合原 哀原 愛原 相原 粟飯原 藍原
あいば	合庭 愛馬 相場 相庭 相羽 相葉 饗場
あいばん	相判 間判
あいびき	合いびき 合い挽き 合挽 合挽き 媾曳 逢いびき 逢い引き 逢びき 逢引 逢引き
あいびょう	愛猫 愛瓢
あいふく	合服 間服
あいぶ	愛撫 愛武 相武
あいま	あい間 アイ間 合い間 合間
あいみ	愛実 愛弥 愛海 相見 相身 藍見
あいみつ	愛蜜 靉光
あいみん	哀愍 愛民
あいもと	愛本 相本
あいもの	四十物 相物
あいよく	愛慾 愛欲
あいら	吾平 姶良
あいり	愛梨 愛理 愛里
あいるらんど	愛蘭 愛蘭土
あいれん	哀憐 愛恋 愛憐 愛蓮
あいろ	あい路 愛路 文色 隘路
あいわ	哀話 愛和
あう	会う 合う 逢う 遇う 遭う
あうん	あ・うん 阿吽 阿呍 阿雲
あえ	会え 合え 和え 逢え 遇え 遭え 阿恵 阿閇
あえぎ	喘ぎ
あえぎごえ	あえぎ声 アエギ声 喘ぎ声
あえて	敢えて 敢て
あえない	敢えない 敢え無い
あえなく	あえ無く 敢えなく 敢え無く 敢なく 敢無く
あえもの	あえ物 和えもの 和え物 和物
あえる	会える 合える 和える 逢える 遇える
あえれ	会えれ 和えれ
あえん	亜鉛 会えん
あお	会お 碧 蒼 阿尾 青
あおあお	あをあを 青々 青青
あおあざ	青あざ 青アザ 青痣
あおあし	青脚 青足
あおい	仰い 扇い 煽い 碧い 葵 蒼 蒼い 蒼井 青い 青井
あおいまつり	葵祭 葵祭り
あおいろ	青いろ 青色 麴塵
あおう	会おう 合おう 粟生 逢おう 遇おう 遭おう 阿翁
あおおに	青おに 青鬼
あおかび	青かび 青カビ 青黴
あおかぶり	青かぶり 青被り
あおが	仰が 扇が 煽が
あおがえる	青がえる 青蛙
あおがき	青垣 青柿
あおがしま	青ケ島 青ヶ島
あおがり	青刈 青刈り
あおき	檍 青木 青樹
あおきがはら	青木が原 青木ケ原 青木ヶ原
あおぎ	仰ぎ 扇ぎ 煽ぎ
あおぎり	梧 梧桐 青桐
あおく	碧く 蒼く 青く
あおくさ	青臭 青草
あおくさい	青くさい 青臭い
あおくび	青衿 青首
あおぐ	仰 仰ぐ 扇ぐ 煽ぐ
あおぐろ	青黒 黝
あおぐろい	蒼黒い 青黒い
あおげ	仰げ 青毛
あおざめ	蒼ざめ 蒼褪め 青ざめ 青褪め 青鮫
あおざめる	蒼ざめる 青ざめる 青褪める
あおしば	青柴 青芝
あおしま	青島 青嶋
あおじ	蒿雀 青地 青字
あおじろ	蒼白 青白
あおじろい	蒼白い 青白い
あおじろく	蒼白く 青白く
あおすじ	青すじ 青筋
あおそ	青苧 青麻
あおぞら	あお空 蒼空 青空
あおたん	青たん 青タン 青単
あおっ	会おっ 呷っ 煽っ
あおと	青戸 青砥
あおとう	青党 青東
あおとかげ	青トカゲ 青蜥蜴
あおに	青丹 青土 青荷
あおね	青嶺 青根
あおねぎ	青ねぎ 青ネギ 青葱
あおのり	青のり 青海苔
あおば	青羽 青葉
あおばえ	蒼蝿 青蠅
あおばと	緑鳩 青鳩
あおばな	青洟 青花 青鼻
あおばら	青バラ 青薔薇
あおひげ	青ひげ 青髭 青髯
あおぶくれ	青ぶくれ 青膨れ
あおみ	蒼み 青み 青味 青海 青身
あおむき	仰向き
あおむけ	あお向け 仰むけ 仰向け
あおめ	青め 青芽
あおもり	青森 青盛
あおや	粟生屋 青屋 青矢 青谷
あおやま	蒼山 青山
あおら	呷ら 煽ら
あおり	呷り 泥障 煽り 障泥
あおりたて	あおり立て 煽りたて 煽り立て
あおりたてよう	煽りたてよう 煽り立てよう
あおりたてる	あおり立てる 煽りたてる 煽り立てる
あおる	アオる 呷る 煽る
あか	亜科 垢 明か 朱 淦 空か 紅 赤 赧 赫 赭 開か 閼伽 阿哥 阿嘉 阿花 阿迦
あかあか	明明 赤々 赤赤
あかあざ	赤あざ 赤痣
あかい	朱い 紅い 緋い 赤い 赤井 赫い 閼伽井
あかいと	赤糸 赤絲
あかいろ	赤色 赫色
あかいわ	赤岩 赤磐
あかうし	あか牛 赤牛
あかえ	赤兄 赤江 赤絵 赤繪
あかえい	赤えい 赤エイ
あかえび	赤エビ 赤海老
あかおぎ	赤尾木 赤荻
あかおに	赤おに 赤鬼
あかかがち	赤加賀智 赤酸醤
あかかっ	紅かっ 赤かっ
あかかぶ	紅かぶ 赤かぶ 赤カブ 赤蕪
あかかん	朱か 紅か
あかがえる	赤がえる 赤ガエル 赤蛙
あかがみ	赤神 赤紙 赤髪
あかがり	赤狩 赤狩り
あかがわ	丹川 赤川 赤皮 赤革 赤韋
あかき	朱 朱き 紅 紅き 赤き
