あえない	敢えない 敢え無い
あえなく	あえ無く 敢えなく 敢え無く 敢なく 敢無く
あお	碧 蒼 青
あおい	碧い 蒼い 青い
あおく	碧く 蒼く 青く
あおくさい	青くさい 青臭い
あおぐろ	青黒 黝
あおぐろい	蒼黒い 青黒い
あおじろ	蒼白 青白
あおじろい	蒼白い 青白い
あおじろく	蒼白く 青白く
あか	朱 紅 赤 赧 赭
あかい	朱い 紅い 緋い 赤い 赫い
あかかっ	紅かっ 赤かっ
あかかん	朱か 紅か
あかき	朱 朱き 紅 紅き 赤き
あかく	朱く 紅く 赤く 赫く
あかし	紅し 赤し
あかる	明 明かる 明る
あかるい	明い 明かるい 明るい
あかるく	明かるく 明く 明るく
あさ	浅 淺
あさき	浅 浅き
あしき	悪き 悪しき
あじけない	味けない 味気ない
あせくさ	汗くさ 汗臭
あせくさい	汗くさい 汗臭い
あたたか	暖 暖か 温か
あたたかい	暖い 暖かい 温かい
あたたかかっ	暖かかっ 暖かっ 温かかっ
あたたかく	暖かく 暖く 温かく
あたたかけれ	暖かけれ 温かけれ
あたらし	新し 新らし
あたらしい	新しい 新らしい
あたらしく	新しく 新らしく
あつ	厚 敦 暑 熱 篤
あつい	アツい 厚い 暑い 熱い 篤い
あつかっ	厚かっ 暑かっ 熱かっ 篤かっ
あつく	アツく 厚く 敦く 暑く 熱く 篤く
あつけれ	厚けれ 暑けれ 熱けれ 篤けれ
あぶない	アブない アブナい 危ない
あぶらくさい	油くさい 油臭い
あぶらっこい	油っこい 脂っこい
あぶらっこく	油っこく 脂っこく
あまい	アマい 甘い
あまずっぱい	甘ずっぱい 甘酸っぱい
あまずっぱく	甘酢っぱく 甘酸っぱく
あまーい	あま〜い 甘〜い 甘ーい
あやう	危 危う
あやうい	危い 危うい
あやうかっ	危うかっ 危かっ
あやうく	危うく 危く
あやし	妖し 怪し 恠し
あやしい	ぁゃιぃ アヤしい 妖しい 怪しい
あやしく	妖しく 怪しく
あら	粗 荒 荒ら
あらあらしい	荒々しい 荒荒しい
あらい	粗い 荒い
あらかっ	粗かっ 荒かっ
あらく	粗く 荒く
ありがた	有りがた 有り難 有難 難有
ありがたい	有り難い 有難い
ありがたかっ	有り難かっ 有難かっ
ありがたく	有りがたく 有り難く 有難く
あわただし	慌し 慌ただし
あわただしい	慌しい 慌ただしい
あわただしかっ	慌しかっ 慌ただしかっ
あわただしく	慌しく 慌ただしく
いい	いゝ 可い 善 美い
いかつい	イカつい イカツい 厳つい
いさまし	勇し 勇まし
いさましかっ	勇しかっ 勇ましかっ
いさましく	勇しく 勇ましく
いたい	イタい 痛い
いたいたしい	痛々しい 痛いたしい
いたまし	傷まし 痛まし
いたましい	傷ましい 痛ましい
いたましく	傷ましく 惨ましく 痛ましく
いちじるしい	著しい 著じるしい
いまわし	忌まわし 忌わし
いまわしい	忌まわしい 忌わしい
いまわしく	忌まわしく 忌わしく
いやし	卑し 賎し 賤し
いやしい	卑しい 賎しい 賤しい
いやしかっ	卑しかっ 賎しかっ 賤しかっ
いやしく	卑しく 賎しく 賤しく
いろよい	色よい 色好い 色良い
いろよく	色よく 色良く
うしろぐらい	後ろ暗い 後暗い
うすあか	うす赤 薄赤
うすあかい	うす赤い 薄赤い
うすぎたな	うす汚 薄汚
うすぎたない	うす汚い 薄汚い
うすぎたなく	うす汚く 薄汚く
うすぐらい	うす暗い 薄暗い
うすぐらく	うす暗く 薄暗く
うすぐろく	うす黒く 薄黒く
うすらさむ	うすら寒 薄ら寒
うすらさむい	うすら寒い 薄ら寒い
うずたかく	うず高く 堆く
うたぐりぶかい	疑りぶかい 疑り深い
うつくし	美 美し
うつくしい	美い 美しい
うつくしく	美く 美しく
うま	上手 巧 旨 美味
うまい	ウマい 上手い 巧い 旨い 美味い
うまかっ	ウマかっ 上手かっ 巧かっ 旨かっ 美味かっ
うまく	ウマく 上手く 巧く 旨く 美味く
うらめし	怨めし 恨めし
うらめしい	怨めしい 恨めしい
うるさ	煩 煩瑣
うるさい	五月蝿い 五月蠅い 煩い
うるさかっ	五月蝿かっ 煩かっ
うるさく	五月蠅く 煩く
うるわし	美わし 麗し
うるわしい	美わしい 麗しい
うるわしく	美わしく 麗しく
うれし	嬉 嬉し
うれしい	嬉 嬉い 嬉しい
えら	偉 豪
えらい	エラい 偉い 豪い
えらく	偉く 豪く
おおき	多 多き 大 大き 巨き
おおきい	大い 大きい 巨きい
おおきかっ	大かっ 大きかっ
おおきく	大きく 大く 巨きく
おおし	多し 雄々し
おおしい	雄々しい 雄雄しい
おおしく	雄々しく 雄雄しく
おかし	可笑 可笑し
おかしく	オカしく 可怪しく 可笑しく
おくゆかし	奥ゆかし 奥床し
おくゆかしい	奥ゆかしい 奥床しい
おぐら	小ぐら 小暗
おさな	幼 幼な
おさない	幼い 幼ない
おさなかっ	幼かっ 幼なかっ
おし	惜 惜し
おしい	惜 惜しい
おしみな	惜しみな 惜しみ無
おしみなく	惜しみなく 惜しみ無く
おそ	晏 遅
おそい	手遅い 遅い
おそく	晏く 遅く
おそれおお	おそれ多 恐れ多 畏れ多
おそれおおい	おそれ多い 恐れ多い 畏れ多い 畏多い
おそれおおく	おそれ多く 恐れ多く 畏れ多く
おそろし	怖し 怖ろし 恐し 恐ろし
おそろしい	怖しい 怖ろしい 恐しい 恐ろしい
おそろしかっ	怖ろしかっ 恐しかっ 恐ろしかっ
おそろしく	怖ろしく 恐しく 恐ろしく
おとこくさ	男くさ 男臭
おとこくさい	男くさい 男臭い
おとこくさく	男くさく 男臭く
おとなしく	大人しく 温順しく
おびただし	夥 夥し
おぼしい	思しい 覚しい
おぼつかない	覚束ない 覚束無い
おもくるし	重くるし 重苦し
おもくるしい	重くるしい 重苦しい
おもしろい	オモシロい 面白い
おもしろく	オモシロく 面白く
おもはゆい	面映い 面映ゆい
かいなく	甲斐なく 甲斐無く
かがやかし	輝かし 輝し 輝やかし
かがやかしい	耀かしい 輝かしい 輝やかしい
かがやかしく	輝かしく 輝しく
かぎりない	限りない 限り無い
かぎりなく	限りなく 限り無く
かくれな	隠れな 隠れ無
かぐわし	香し 馨し
かぐわしい	香ぐわしい 香しい 馨しい
かしこ	畏 賢
かしこい	畏い 賢い
かしこく	畏く 賢く
かた	剛 固 堅 硬 確 難
かたい	カタい 剛い 固い 堅い 硬い 難い
かたかっ	固かっ 堅かっ 硬かっ 難かっ
かたく	カタく 剛く 固く 堅く 硬く 難く
かたくるしい	固苦しい 堅苦しい
かたくるしく	固苦しく 堅苦しく
かたけれ	固けれ 硬けれ 難けれ
かなし	哀し 悲し
かなしい	哀しい 悲しい
かなしかっ	哀しかっ 悲しかっ
かなしく	哀しく 悲しく
かびくさ	かび臭 カビ臭
かびくさい	かび臭い カビ臭い 黴くさい 黴臭い
かびくさく	かび臭く カビ臭く
かゆい	カユい 痒い
から	辛 辣 鹹
からい	カラい 辛い 鹹い
かる	軽 輕
かるがるしく	軽々しく 軽がるしく
かわい	可愛 可愛い
かわいい	カワいい 可愛い 可愛いい
かわいかっ	可愛いかっ 可愛かっ
かわいく	カワイく 可愛いく 可愛く
かわいらし	カワイらし 可愛らし
かんだかい	かん高い カン高い 甲高い
かんだかく	かん高く 甲高く
きいろい	黄いろい 黄色い
ききぐるしく	聞き苦しく 聞苦しく
きたな	汚 汚な 穢
きたない	汚い 汚ない 穢い
きたなく	汚く 汚なく 穢く
きたならしい	汚ならしい 汚らしい
きなくさ	きな臭 キナ臭
きなくさい	きな臭い キナ臭い
きなくさく	きな臭く キナ臭く
きはずかし	気恥かし 気恥ずかし
きびしい	厳しい 酷しい
きまりわる	きまり悪 決まり悪
きまりわるい	きまり悪い 決まり悪い
きまりわるく	きまり悪く 決まり悪く
きむずかし	気むずかし 気難し
きむずかしい	気むずかしい 気難しい
きむずかしく	気むずかしく 気難しく
きめこまかい	きめ細かい 木目細かい
きやすい	気やすい 気安い
きやすく	気やすく 気安く
きよ	浄 清 聖
きよい	浄い 清い 聖い
きよう	清う 聖う
きよく	浄く 清く 聖く
きわまりなく	極まりなく 窮まりなく
くさい	クサい 臭い
くさく	クサく 臭く
くちうるさい	口うるさい 口煩い
くちおし	口おし 口惜 口惜し
くちぎたない	口汚い 口汚ない
くちはばったい	口はばったい 口幅ったい
くちやかましい	口やかましい 口喧しい
くどく	クドく 拗く
くやし	口惜し 悔し
くやしい	口惜しい 悔しい
くやしかっ	口惜しかっ 悔しかっ
くやしく	口惜しく 悔しく
くやしけれ	口惜しけれ 悔しけれ
くら	冥 昏 暗 杳 溟 瞑 蒙 闇 黯
くらい	昏い 暗い 溟い 黯い
くらく	昏く 暗く
くろ	黒 黝
くろう	暗う 黒う
くわし	精し 詳 詳し
くわしい	委しい 精しい 詳しい
くわしかっ	精しかっ 詳しかっ
くわしく	委しく 精しく 詳く 詳しく
くわしけれ	精しけれ 詳しけれ
けがらわしい	汚らわしい 穢らわしい
けだる	気だる 気怠
けだるい	気だるい 気怠い
けだるく	気だるく 気怠く
けわし	嶮し 険 険し
けわしい	嶮しい 険しい
けわしく	嶮しく 険しく
こいし	恋し 戀し
こうばし	芳ばし 香ばし
こうばしい	芳ばしい 香ばしい
こぎたない	小汚い 小汚ない
こげくさ	焦げ臭 焦臭
こげくさい	焦げくさい 焦げ臭い
こげくさく	焦げくさく 焦げ臭く
ここちよ	心地よ 心地好 心地良
ここちよい	心地よい 心地好い 心地良い
ここちよかっ	心地よかっ 心地良かっ
ここちよく	心地よく 心地好く 心地良く
こころない	心ない 心無い
こころなく	心なく 心無く
こころなけれ	心なけれ 心無けれ
こころぼそ	心ぼそ 心細
こころぼそい	心ぼそい 心細い
こころもとな	心もとな 心許な
こころもとない	心もとない 心許ない 心許無い
こころもとなかっ	心もとなかっ 心許なかっ
こころもとなく	心もとなく 心許なく
こころやすい	心やすい 心安い
こころやすく	心やすく 心安く
こころよい	快い 快よい
こざかし	小ざかし 小賢し
こざかしい	小ざかしい 小賢しい
このまし	好し 好まし
こわ	こは 怕 怖 恐
こわい	こはい コワい 怖い 恐い
こわかっ	怖かっ 恐かっ
こわく	こはく コワく 怖く 恐く
こわーい	コワ〜イ 怖〜い
さと	敏 聡 聰
さとい	敏い 聡い
さとく	敏く 聡く
さびし	サビし 寂し 淋し
さびしい	寂しい 寂びしい 淋しい
